1,SPYKIDS,National Institute of Technology  Silchar
2,Plagiarized_Team,Pimpri Chinchwad College of Engineering Pune
3,Out of Bounds,Gayatri Vidya Parishad College of Engineering  Visakhapatnam
4,Testcase - 3,Indian Institute of Information Technology Pune
5,DEV > CP,K. J. Somaiya College of Engineering  Vidyavihar  Mumbai
6,FenWicked Tree,IIIT-Delhi
7,Code Smokers,National Institute of Technology Delhi
8,SnackOverflow,National Institute of Technology  Jamshedpur
9,CODE CONQUEROR,Thapar Institute of Engineering & Technology  Patiala  Punjab
10,KiloByteMe,School of Engineering and Applied Science  Ahmedabad University
11,Sieve,Keshav Memorial Institute of Technology  Hyderabad  Telangana
12,Greedy Turtles,Nirma Institute of Technology  Ahmedabad
13,WuShang Clan,Bhagwan Parshuram Institute of Technology Delhi
14,BogBois,BITS-Pilani  Goa Campus
15,we_have_ak,National Institute of Technology  Trichy
16,BinaryFlip,Indian Institute of Technology  Palakkad
17,CodeBreakers,M.S. Ramaiah Institute of Technology  Bengaluru  Karnataka
18,Error-404,Vellore Institute of Technology - Andhra Pradesh
19,Angry Nerds,International Institute of Information Technology - Naya Raipur
20,Chennai Sharks,Sri Sivasubramaniya Nadar College of Engineering  Tamil Nadu
21,Tiger Leap,Maulana Azad National Institute of Technology Bhopal
22,Serial Coders,Goa Engineering College
23,Icy Spicy,IIIT Vadodara
24,Bit Happens,Amrita Vishwa Vidyapeetham Coimbatore
25,Kuch bhi,Indian Institute of Information Technology Sri City Andhra Pradesh
26,seg_fault,Indian Institute of Technology Tirupati
27,Expert_coders,Kalyani Government Engineering College West Bengal
28,Skill Issue,Scaler School of Technology   Bengaluru  Karnataka
29,MLE_2.0,ABES Engineering College Uttar Pradesh
30,Dudh Mehenga Hai,DJ Sanghvi College of Engineering Mumbai  Maharashtra
31,Optimus Prime,Indian Institute of Technology Goa
32,Binary Search FTW,Sir M. Visvesvaraya Institute of Technology   Bengaluru  Karnataka
33,CrystaLMatH,Indian Institute of Technology - Jodhpur
34,Big-O Bandits,National Institute of Technology  Kurukshetra
35,Jetha ke Jabaaz,L. D. College of Engineering  Ahmedabad  Gujarat
36,io,National Institute of Technology  Warangal
37,Code Busters,Madan Mohan Malaviya University of Technology Gorakhpur  Uttar Pradesh
38,System Testing,Jaipur Engineering College & Research Centre
39,O(0),Sardar Vallabhbhai National Institute of Technology Surat  Gujarat
40,Jelllaaaannnn,National Institute of Technology  Durgapur
41,lastRide,Fr. Conceicao Rodrigues Institute of Technology  Navi Mumbai  Maharashtra
42,Royal Challengers,Indian Institute of Technology - Bhilai
43,Team Codestorm,Indian Institute of Information Technology  Una Himachal Pradesh
44,Three_Pointers,Indian Institute of Information Technology Kottayam
45,XD,Indian Institute of Engineering Science and Technology  Shibpur
46,ExitCode 1,Punjab Engineering College Chandigarh
47,DISQUALIFIED,Chandigarh University
48,postesters,VIT University Chennai Campus
49,BYTEBUSTERS,Vellore Institute of Technology  Tamil Nadu
50,AlgoUnleash,Harcourt Butler Technical University  Kanpur
51,SoE_JNU,Jawaharlal Nehru University Delhi
52,AHY_Programmers,Vishwakarma Institute of Technology   Pune  Maharashtra
53,always_trie,Vidyalankar Institute of Technology Mumbai  Maharashtra
54,S.M.S,MLR Institute of Technology  Hyderabad  Telangana
55,Terrific Trio,Shambhunath Institute of Engineering and Technology  Uttar Pradesh
56,Loopy_bois,Indian Institute of Information Technology Bhopal
57,L Ratios,The LNM Institute of Information Technology Jaipur Rajasthan
58,Sammaan,National Institute of Technology Uttarakhand
59,BrainLimitExceeded,Institute of Engineering & Technology - Devi Ahilya Univ  Madhya Pradesh
60,Triangle,Veermata Jijabai Technological Institute  Mumbai  Maharashtra
61,Binary Beasts,Pimpri Chinchwad College Of Engineering and Research  Pune
62,300IQ,Thakur College of Engineering and Technology  Mumbai  Maharashtra
63,DCRUST,Deenbandhu Chhotu Ram University of Science and Technology Murthal Sonipat  Haryana
64,Dead people,Prof. Ram Meghe Institute of Technology and Research  Amravati
65,cp_ne_13_14,IIT Bhubaneswar
66,Jai Bholenath,Maharaja Agrasen Institute of Technology Delhi
67,Saksham,MIT Academy of Engineering  Alandi
68,Super Saiyans,Amity University Uttar Pradesh
69,Byte Coders,International Institute of Information Technology Bhubaneswar
70,OdinSpam,Parul Institute of Technology  Gujarat
71,Universe 7,Dr. D.Y. Patil Institute of Technology  Pimpri-Chinchwad  Maharashtra
72,Code Prodigies,Shri Vishnu Engineering College for Women  Andhra Pradesh
73,SNS_techies,SNS College of Technology Tamil Nadu
74,CODSOC_25,NITRA Technical Campus Uttar Pradesh
75,cant_trie_hard,BITS-Pilani  Hyderabad Campus
76,Failures,Indian Institute of Technology - Guwahati
77,borderline,Indian Institute of Technology - Hyderabad
78,Marshmallows,Birla Institute of Technology & Science  Pilani Campus
79,3equals1000,Dhirubhai Ambani Institute of Information and Communication Technology  Gandhinagar
80,Red Black Three,National Institute of Technology Rourkela
81,Cats on Trees,IIIT-Delhi
82,Hackermans,Indian Institute of Technology - Indore
83,GFS,Indian Institute of Technology - Indore
84,CluelessCoders,National Institute of Technology Patna
85,candidate_keys,Netaji Sushas University of Technology Delhi
